"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35973.780509792","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","875.517610447298","922.829449153001","916.334474798349","1011.59552439759","1065.61966514703","1210.4792652894","1247.06614429099","1482.09883711417","1581.60083598967","1660.73985617959","1873.15394552307","1877.4119527561","1875.44740682017","1861.12433157969","1876.54468249824","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840.20076315583","2811.28712551309","2591.3262764243","1932.80403070552","1978.43803181514","2162.91720334849","2380.13283783075","2541.71249753358","2670.6200295541","2721.15555872729","2781.25814006965","2870.03671445479","2620.88901186581","2715.9434412314","2985.59858539211","3516.40265774144","4222.66303265405","5128.36125339137","5743.11004757119","5718.69440789557","5775.864013056","5911.25433387322","6109.13661230635","6400.6733758948","6594.39782555733","6634.40227421076","6499.06710397686","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2721.61521196936","1992.07368813749","1902.28638292559","2147.57511154929","2389.94694515136","2781.41398865458","3109.18349826519","2837.35150385485","3208.95777292087","3690.6887286804","4026.53742165438","4463.63298574571","4754.67585643877","5114.78477868487","5524.92166084436","5942.87008309141","6634.77922229419","7289.63236647454","8228.35742830833","8823.80298377688","9646.61572668359","10207.7006744902","10526.248327766","10584.4469188389","11325.3215678282","11504.7482377884","11928.5365625164","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6773.98508117941","6836.18504316103","7208.4549379874","7410.21868222219","7599.37572079869","7729.77356327184","8045.48411247148","8343.51577904304","8717.79241388926","8868.31971097693","9339.90317757517","9523.96968434598","9523.82535872151","9927.57674496585","10895.2958228611","11609.9934077847","12412.6969739852","13006.3566709286","13702.0375812848","13598.3550220039","14087.9715402868","14463.5128268794","15126.0063483901","15561.5571471729","15948.4200152518","16321.0176805141","16756.4957272555","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71786.1128303808","70641.7656524757","70495.9605342429","69085.1259921054","71492.9295991637","74045.2298778651","75977.3934172318","79612.8677758291","76783.5424728084","76193.7004846831","81818.620518073","80488.6897393234","79388.0109781832","82571.3609969717","85090.2827624559","82205.9452738345","81305.3748139347","74698.274385985","68902.1990533634","59160.0018502916","56415.0740541116","58404.0155906001","60914.803083232","64713.1312095065","67551.0023997269","70245.9325004669","72418.6108577948","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6990.5540452718","8024.5923535332","9061.6455871977","9693.96727918434","10342.4762422745","10129.7777926836","10754.198418916","11688.7464014871","12132.5103928877","11769.1499747988","11810.0613643332","11419.0588662652","10217.2730997834","11217.5719276888","12430.7137249452","13817.7140737884","15227.5124961234","16865.5447595212","17711.4417867571","16618.1208523782","18333.5436985461","19629.3518451916","19579.0064837139","20161.4968324254","19801.2591150925","20337.7159452789","19934.3724871301","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418.86092635283","2227.66945592516","1350.10825132977","1290.47311465326","1422.70977569021","1584.60046970289","1734.65530226984","1843.37854465206","2015.10557492605","2126.91516907334","2318.23807348524","2613.78456707536","3020.4539866883","3531.96864291305","4031.9472042658","4769.48900409301","5607.6458691567","6605.21669618151","7260.96875587368","6323.57833605451","6567.25858179835","7022.10394338388","7649.49140943212","7997.38712848925","8396.7425948463","8709.54108816243","8817.95399554711","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
