Legend/Légende
Code  English description  Description française
-  the instance does not exist or any case has not occurred   il fenomeno non esiste oppure esiste e viene rilevato, ma i casi non si sono verificati
0  less than half of the unit used  il dato non raggiunge la metà della cifra minima considerata
b  break in series  break nella serie
c  unseen data because of the statistical confidenciality  dato oscurato per la tutela del segreto statistico
e  estimate data  dato stimato
f  forecast  dato previsto
g  the instance exists, but is not known for any reason  il fenomeno esiste, ma i dati non si conoscono per qualsiasi ragione
n  data statistically not significant (see explanatory texts)  dato statisticamente non significativo (vedasi metadati di dataset)
p  provisional data  dato provvisorio
r  revised data  dato aggiornato
s  strike  sciopero
t  title for the grouping   è voce da considerarsi come titolo di raggruppamento
u  unreliable or uncertain data (see explanatory texts)  dato indisponibile o incerto (vedasi metadati di dataset)
y  data not yet revised according to the 2011 Census  dato non ricostruito rispetto alla popolazione del censimento 2011
