Età	Stato civile	Tipo di indicatore demografico	Territorio	Seleziona periodo	Sesso	0	Flags
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2012"	"maschi"	374800	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2013"	"maschi"	365661	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2014"	"maschi"	366172	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2015"	"maschi"	365813	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2016"	"maschi"	354102	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2017"	"maschi"	348262	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2012"	"femmine"	376029	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2013"	"femmine"	365322	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2014"	"femmine"	364981	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2015"	"femmine"	363075	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2016"	"femmine"	350050	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2017"	"femmine"	343875	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2012"	"totale"	750829	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2013"	"totale"	730983	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2014"	"totale"	731153	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2015"	"totale"	728888	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2016"	"totale"	704152	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Italia"	"2017"	"totale"	692137	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2012"	"maschi"	95491	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2013"	"maschi"	92951	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2014"	"maschi"	93701	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2015"	"maschi"	94230	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2016"	"maschi"	90457	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2017"	"maschi"	88352	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2012"	"femmine"	95324	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2013"	"femmine"	93133	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2014"	"femmine"	92259	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2015"	"femmine"	92284	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2016"	"femmine"	89072	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2017"	"femmine"	86794	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2012"	"totale"	190815	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2013"	"totale"	186084	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2014"	"totale"	185960	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2015"	"totale"	186514	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2016"	"totale"	179529	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Nord-ovest"	"2017"	"totale"	175146	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2012"	"maschi"	25559	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2013"	"maschi"	24617	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2014"	"maschi"	24866	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2015"	"maschi"	24706	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2016"	"maschi"	23628	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2017"	"maschi"	22871	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2012"	"femmine"	25563	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2013"	"femmine"	25182	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2014"	"femmine"	24718	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2015"	"femmine"	24448	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2016"	"femmine"	23393	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2017"	"femmine"	22809	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2012"	"totale"	51122	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2013"	"totale"	49799	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2014"	"totale"	49584	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2015"	"totale"	49154	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2016"	"totale"	47021	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Piemonte"	"2017"	"totale"	45680	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2012"	"maschi"	13348	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2013"	"maschi"	12610	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2014"	"maschi"	13023	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2015"	"maschi"	12954	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2016"	"maschi"	12371	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2017"	"maschi"	12031	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2012"	"femmine"	13681	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2013"	"femmine"	13285	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2014"	"femmine"	13131	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2015"	"femmine"	13037	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2016"	"femmine"	12413	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2017"	"femmine"	12208	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2012"	"totale"	27029	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2013"	"totale"	25895	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2014"	"totale"	26154	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2015"	"totale"	25991	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2016"	"totale"	24784	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Torino"	"2017"	"totale"	24239	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2012"	"maschi"	1021	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2013"	"maschi"	953	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2014"	"maschi"	978	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2015"	"maschi"	1003	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2016"	"maschi"	843	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2017"	"maschi"	900	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2012"	"femmine"	931	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2013"	"femmine"	952	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2014"	"femmine"	940	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2015"	"femmine"	903	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2016"	"femmine"	883	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2017"	"femmine"	836	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2012"	"totale"	1952	
