iso_o	iso_d	contig	dist	distw	distwces
ITA	AFG	0	4935.994	4878.285	4866.3
ITA	AGO	0	5645.243	5850.538	5827.607
ITA	ALB	0	611.7626	722.9528	638.088
ITA	AND	0	909.03	898.0082	850.4951
ITA	ARE	0	4303.976	4399.974	4386.319
ITA	ARG	0	11173.56	11214.01	11205.74
ITA	ARM	0	2677.67	2729.921	2717.341
ITA	ATG	0	7470.406	7433.397	7427.48
ITA	AUS	0	16333.25	15855.41	15799.78
ITA	AUT	1	767.4132	700.9222	618.7315
ITA	AZE	0	3113.878	3071.184	3056.809
ITA	BDI	0	5315.705	5421.156	5402.024
ITA	BEL	0	1174.904	1087.702	995.9626
ITA	BEN	0	4070.718	4012.744	3991.03
ITA	BFA	0	3564.484	3673.834	3660.384
ITA	BGD	0	7311.514	7350.539	7345.459
ITA	BGR	0	893.0574	1098.445	1051.016
ITA	BHR	0	3883.804	3949.338	3933.44
ITA	BHS	0	8174.021	8100.11	8091.526
ITA	BIH	0	531.7457	601.3462	563.79
ITA	BLR	0	1732.921	1720.115	1694.373
ITA	BLZ	0	9645.203	9528.034	9520.408
ITA	BOL	0	10488.25	10372.89	10368.69
ITA	BRA	0	9482.516	8940.465	8855.038
ITA	BRB	0	7572.592	7534.35	7529.482
ITA	BRN	0	10673.06	10681.16	10678.79
ITA	BTN	0	7009.517	7062.265	7058.487
ITA	BWA	0	7543.876	7495.78	7478.945
ITA	CAF	0	4217.791	4251.325	4226.581
ITA	CAN	0	7089.198	7269.783	7159.589
ITA	CHE	1	692.6592	609.6788	438.954
ITA	CHL	0	11923.97	11936.18	11921.9
ITA	CHN	0	8134.695	8466.926	8444.155
ITA	CIV	0	4386.772	4402.103	4391.153
ITA	CMR	0	4234.211	4104.969	4061.057
ITA	COG	0	5140.217	5216.103	5196.919
ITA	COL	0	9471.443	9314.873	9304.509
ITA	COM	0	6740.349	6882.044	6866.49
ITA	CPV	0	4571.382	4559.375	4555.742
ITA	CRI	0	9813.549	9760.437	9754.483
ITA	CUB	0	8710.583	8515.877	8505.566
ITA	CYP	0	1957.84	2041.751	2008.825
ITA	CZE	0	926.5591	896.5693	840.2826
ITA	DEU	0	1146.023	1013.826	889.9425
ITA	DJI	0	4495.316	4589.498	4568.517
ITA	DMA	0	7562.121	7514.408	7508.948
ITA	DNK	0	1534.086	1475.937	1425.479
ITA	DOM	0	8029.474	7984.013	7977.167
ITA	DZA	0	991.1346	1114.709	1059.658
ITA	ECU	0	10117.13	10243.79	10238.3
ITA	EGY	0	2133.612	2214.021	2165.335
ITA	ERI	0	3888.729	4037.192	4008.195
ITA	ESP	0	1366.76	1325.827	1219.245
ITA	EST	0	2126.436	2071.118	2049.641
ITA	ETH	0	4472.661	4544.532	4516.628
ITA	FIN	0	2203.158	2246.061	2215.249
ITA	FJI	0	17071.74	16964.84	16962.85
ITA	FRA	1	1109.901	891.5286	712.8497
ITA	GAB	0	4629.279	4769.178	4751.503
ITA	GBR	0	1438.425	1487.006	1399.13
ITA	GEO	0	2665.359	2619.168	2602.799
ITA	GHA	0	4236.602	4236.315	4219.619
ITA	GIN	0	4537.205	4392.501	4384.64
ITA	GMB	0	4231.457	4253.969	4249.937
ITA	GNB	0	4314.739	4344.412	4340.377
ITA	GNQ	0	4260.175	4463.377	4444.585
ITA	GRC	0	1050.411	1112.724	1038.996
ITA	GRD	0	7822.319	7775.714	7770.869
ITA	GTM	0	9976.035	9916.834	9909.647
ITA	GUY	0	7916.695	7900.962	7897.111
ITA	HND	0	9759.432	9647.835	9640.58
ITA	HRV	0	517.0557	551.0996	489.4434
ITA	HTI	0	8234.053	8173.421	8166.409
ITA	HUN	0	811.4083	830.8419	794.9297
ITA	IDN	0	10823.78	10902.43	10869.4
ITA	IND	0	5922.222	6388.826	6352.288
ITA	IRL	0	1887.733	1821.601	1766.681
ITA	IRN	0	3417.937	3536.223	3490.787
ITA	IRQ	0	2952.038	3040.589	3012.144
ITA	ISL	0	3307.978	3202.163	3170.531
ITA	ISR	0	2250.53	2346.516	2314.383
ITA	JAM	0	8637.783	8588.234	8581.247
ITA	JOR	0	2349.238	2428.644	2398.389
ITA	JPN	0	9869.275	9710.689	9706.069
ITA	KAZ	0	5149.272	4602.728	4513.481
ITA	KEN	0	5392.694	5510.543	5484.393
ITA	KGZ	0	4985.388	4998.976	4994.235
ITA	KHM	0	9357.015	9334.45	9330.515
ITA	KIR	0	14838.9	14806.64	14801.62
ITA	KNA	0	7532.995	7422.205	7393.764
ITA	KOR	0	8982.659	9047.517	9043.907
ITA	KWT	0	3471.372	3544.482	3527.671
ITA	LAO	0	8703.752	8810.066	8800.152
ITA	LBN	0	2199.887	2282.785	2253.553
ITA	LBR	0	4575.671	4614.913	4608.359
ITA	LBY	0	1019.841	1278.892	1168.307
ITA	LCA	0	7620.192	7583.404	7578.264
ITA	LKA	0	7635.494	7673.56	7665.625
ITA	LSO	0	8072.605	8180.855	8169.015
ITA	LTU	0	1706.051	1662.526	1640.229
ITA	LUX	0	989.5763	902.2117	794.3609
ITA	LVA	0	1869.574	1819.582	1797.188
ITA	MAR	0	1903.561	1953.821	1927.299
ITA	MDA	0	1413.827	1445.541	1433.005
ITA	MDG	0	7660.201	7786.977	7767.775
ITA	MDV	0	7330.813	7428.448	7415.687
ITA	MEX	0	10254.87	10108.35	10095.18
ITA	MHL	0	14161.74	13998.4	13994.5
ITA	MKD	0	742.0995	839.4188	782.757
ITA	MLI	0	3809.006	3779.566	3763.004
ITA	MLT	0	688.7803	802.1907	631.7763
ITA	MMR	0	8264.19	8200.993	8192.522
ITA	MNG	0	6987.772	6898.866	6882.704
ITA	MOZ	0	7829.499	7477.237	7438.716
ITA	MRT	0	3774.411	3736.092	3724.353
ITA	MUS	0	8313.152	8414.898	8402.919
ITA	MWI	0	6589.733	6756.171	6736.044
ITA	MYS	0	9717.922	9907.099	9887.72
ITA	NAM	0	7188.876	7217.005	7194.574
ITA	NER	0	3311.987	3268.81	3239.872
ITA	NGA	0	4043.533	3917.507	3879.466
ITA	NIC	0	9834.672	9747.508	9740.765
ITA	NLD	0	1297.695	1174.921	1092.614
ITA	NOR	0	2010.678	2003.588	1939.107
ITA	NPL	0	6640.497	6632.005	6622.931
ITA	NZL	0	18572.15	18460.9	18458.48
ITA	OMN	0	4702.792	4714.417	4699.566
ITA	PAK	0	5300.738	5407.024	5398.3
ITA	PAN	0	9517.763	9522.212	9515.617
ITA	PER	0	10875.48	10745.81	10739.91
ITA	PHL	0	10397.98	10559.38	10549.16
ITA	PLW	0	11999.44	11990.96	11989.77
ITA	PNG	0	14329.81	14153.79	14147.53
ITA	POL	0	1319.479	1196.822	1151.226
ITA	PRK	0	8788.533	8759.339	8757.011
ITA	PRT	0	1864.041	1853.643	1818.275
ITA	PRY	0	10376.26	10344.67	10342.55
ITA	QAT	0	4019.459	4078.137	4062.552
ITA	ROU	0	1139.559	1171.502	1135.915
ITA	RUS	0	2383.171	3101.445	2798.584
ITA	RWA	0	5188.542	5288.956	5269.262
ITA	SAU	0	3684.742	3586.06	3539.063
ITA	SDN	0	3503.608	3675.419	3637.758
ITA	SEN	0	4179.284	4183.525	4178.883
ITA	SGP	0	10033.4	10070.96	10067.26
ITA	SLB	0	15224.34	15156.84	15155.08
ITA	SLE	0	4494.866	4513.313	4508.025
ITA	SLV	0	9943.909	9871.203	9864.415
ITA	SMR	1	230.0196	327.948	249.3536
ITA	SOM	0	5515.176	5433.283	5396.542
ITA	STP	0	4675.544	4744.748	4730.735
ITA	SUR	0	7744.406	7714.716	7706.852
ITA	SVK	0	789.4631	906.8877	863.0097
ITA	SVN	1	492.3427	529.226	425.5931
ITA	SWE	0	1980.122	1833.431	1772.384
ITA	SWZ	0	7830.921	7947.528	7935.002
ITA	SYC	0	6758.052	6849.657	6835.796
ITA	SYR	0	2285.747	2342.719	2313.913
ITA	TCD	0	3316.223	3531.71	3496.938
ITA	TGO	0	4125.414	4095.22	4077.465
ITA	THA	0	8838.563	8875.156	8869.951
ITA	TJK	0	4713.199	4753.878	4748.441
ITA	TKM	0	3894.448	3968.217	3946.299
ITA	TLS	0	12558.5	12597.43	12595.16
ITA	TON	0	17615.05	17496.25	17492.94
ITA	TTO	0	7908.261	7877.791	7873.224
ITA	TUN	0	595.3532	812.3326	722.6122
ITA	TUR	0	1373.27	1727.24	1633.859
ITA	TUV	0	16095.31	15930.42	15926.5
ITA	TWN	0	9614.098	9631.883	9630.214
ITA	TZA	0	6070.02	5987.076	5956.461
ITA	UGA	0	5044.428	5101.602	5078.873
ITA	UKR	0	1674.773	1810.01	1765.606
ITA	URY	0	11041.93	11010.89	11008.63
ITA	USA	0	6895.107	8284.006	8076.798
ITA	UZB	0	4633.52	4603.888	4583.225
ITA	VCT	0	7699.338	7662.165	7657.168
ITA	VEN	0	8360.616	8428.454	8418.37
ITA	VNM	0	8741.851	9337.082	9320.302
ITA	VUT	0	16499.28	16370.49	16368.36
ITA	WSM	0	16322.46	16791.3	16787.51
ITA	YEM	0	4231.959	4411.864	4387.241
ITA	ZAF	0	8460.335	8134.674	8110.853
ITA	COD	0	5147.996	5418.177	5374.855
ITA	ZMB	0	6585.451	6548.639	6528.83
ITA	ZWE	0	6915.104	7078.592	7063.247
ITA	SRB	0	725.4269	782.0466	746.0402
ITA	MNE	0	725.4269	782.0466	746.0402
