iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
AFG	Afghanistan	652225	303.7614	1	Asia	1	25	Persian	.	.	Persian	Pashtu	.	.	Hazaragi	Uzbek	.	.	.	.	.	.	GBR	.	.
AGO	Angola	1246700	419.9666	0	Africa	1	25	Portuguese	.	.	Portuguese	Umbundu	Mbundu Loanda	.	Kongo	.	.	.	PRT	.	.	.	.	.	.
ALB	Albania	28748	63.77311	0	Europe	1	25	Albanian	.	.	Albanian	.	.	.	.	.	.	.	TUR	.	.	.	.	.	.
AND	Andorra	453	8.005398	0	Europe	1	7	Catalan	Spanish	.	Catalan	Spanish	.	.	.	.	.	.	.	.	.	.	.	.	.
ARE	United Arab Emirates	83657	108.789	0	Asia	1	9	Arabic	.	.	Arabic	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
ARG	Argentina	2766889	625.6475	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
ARM	Armenia	29800	64.92948	1	Asia	1	25	Armenian	.	.	Armenian	.	.	.	.	.	.	.	TUR	RUS	.	.	.	.	.
ATG	Antigua and Barbuda	442	7.907605	0	America	1	15	English	.	.	English	Leeward Caribbean Creole English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
AUS	Australia	7686848	1042.817	0	Pacific	1	25	English	.	.	English	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
AUS	Australia	7686848	1042.817	0	Pacific	0	25	English	.	.	English	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
AUT	Austria	83858	108.9196	1	Europe	1	25	German	.	.	German	.	.	.	.	.	.	.	.	.	.	.	DEU	.	.
AZE	Azerbaijan	86600	110.686	1	Asia	1	25	Azeri	.	.	Azeri	.	.	.	Talysh	.	.	.	RUS	.	.	.	TUR	.	.
BDI	Burundi	27834	62.75114	1	Africa	1	15	French	Kirundi	.	French	Kirundi	.	.	.	.	.	.	BEL	DEU	.	.	.	.	.
BEL	Belgium and Luxembourg	33114	68.44467	0	Europe	1	25	Dutch	French	German	Dutch	French	German	.	.	.	.	.	.	.	.	.	NLD	.	.
BEN	Benin	112622	126.225	0	Africa	1	25	French	.	.	French	Fon	.	.	.	.	.	.	FRA	.	.	.	.	.	.
BEN	Benin	112622	126.225	0	Africa	0	25	French	.	.	French	Fon	.	.	.	.	.	.	FRA	.	.	.	.	.	.
BFA	Burkina Faso	274200	196.9552	1	Africa	1	25	French	.	.	French	Mòoré	.	.	Jula	.	.	.	FRA	.	.	.	.	.	.
BGD	Bangladesh	143998	142.7289	0	Asia	1	25	Bengali	.	.	Bengali	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
BGR	Bulgaria	110994	125.3094	0	Europe	1	25	Bulgarian	.	.	Bulgarian	.	.	.	Turkish	.	.	.	TUR	.	.	.	.	.	.
BHR	Bahrain	678	9.793742	0	Asia	1	7	Arabic	.	.	Arabic	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
BHS	Bahamas	13939	44.40681	0	America	1	24	English	.	.	English	Bahamas Creole English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
BIH	Bosnia and Herzegovina	51233	85.13511	0	Europe	1	25	Serbo-Croatian	.	.	Serbo-Croatian	.	.	.	.	.	.	.	TUR	AUT	.	.	YUG	HUN	.
BLR	Belarus	207595	171.3729	0	Europe	1	25	Belarussian	.	.	Belarussian	.	.	.	Russian	.	.	.	RUS	.	.	.	.	.	.
BLZ	Belize	22963	56.99649	0	America	1	9	English	Spanish	.	Spanish	English	Bileez Kriol	.	.	.	.	.	GBR	.	.	.	.	.	.
BOL	Bolivia	1098581	394.2302	1	America	1	25	Spanish	Quecha	Aymara	Spanish	Quecha	Aymara	.	.	.	.	.	ESP	.	.	.	.	.	.
BOL	Bolivia	1098581	394.2302	1	America	0	25	Spanish	Quecha	Aymara	Spanish	Quecha	Aymara	.	.	.	.	.	ESP	.	.	.	.	.	.
BRA	Brazil	8511920	1097.356	0	America	1	25	Portuguese	.	.	Portuguese	.	.	.	.	.	.	.	PRT	.	.	.	.	.	.
BRA	Brazil	8511920	1097.356	0	America	0	25	Portuguese	.	.	Portuguese	.	.	.	.	.	.	.	PRT	.	.	.	.	.	.
BRB	Barbados	431	7.808587	0	America	1	11	English	.	.	Bajan	English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
BRN	Brunei Darussalam	5765	28.55837	0	Asia	1	5	Malay	.	.	Malay	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
BTN	Bhutan	46620	81.21195	1	Asia	1	20	Burmese	.	.	Dzongha	.	.	.	Nepali	Tshangla	.	.	.	.	.	.	GBR	IND	.
BWA	Botswana	600372	291.4366	1	Africa	1	25	English	.	.	Tswana	English	.	.	Kalanga	.	.	.	GBR	.	.	.	.	.	.
CAF	Central African Republic	622984	296.8741	1	Africa	1	25	French	.	.	Gbaya	Sango	.	.	French	.	.	.	FRA	.	.	.	.	.	.
CAN	Canada	9976139	1187.996	0	America	1	25	English	French	.	English	French	.	.	.	.	.	.	GBR	FRA	.	.	.	.	.
CAN	Canada	9976139	1187.996	0	America	0	25	English	French	.	English	French	.	.	.	.	.	.	GBR	FRA	.	.	.	.	.
CHE	Switzerland	41288	76.42681	1	Europe	1	25	German	French	Italian	German	Alemannisch	French	.	Italian	.	.	.	.	.	.	.	.	.	.
CHL	Chile	756945	327.2397	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
CHN	China	9572378	1163.707	0	Asia	1	25	Chinese	.	.	Chinese Mandarin	.	.	.	Chinese Wu	Chinese Yue	.	.	.	.	.	.	.	.	.
CIV	Côte d'Ivoire	322463	213.5865	0	Africa	0	25	French	.	.	Baoulé	French	Diaoula	.	.	.	.	.	FRA	.	.	.	.	.	.
CIV	Côte d'Ivoire	322463	213.5865	0	Africa	1	25	French	.	.	Baoulé	French	Diaoula	.	.	.	.	.	FRA	.	.	.	.	.	.
