Region	Pop	Area	Dens	Num Com	Nom Prov
Abruzzo	1322247	10831.84	122	305	4
Basilicata	570365	10073.32	57	131	2
Calabria	1965128	15221.90	129	405	5
Campania	5839084	13670.95	427	550	5
Emilia-Romagna	4448841	22452.78	198	331	9
Friuli-Venezia Giulia	1219191	7924.36	154	217	4
Lazio	5898124	17232.29	342	378	5
Liguria	1565307	5416.21	289	234	4
Lombardia	10019166	23863.65	420	1516	12
Marche	1538055	9401.38	164	229	5
Molise	310449	4460.65	70	136	2
Piemonte	4392526	25387.07	173	1197	8
Puglia	4063888	19540.90	208	258	6
Sardegna	1653135	24100.02	69	377	5
Sicilia	5056641	25832.39	196	390	9
Toscana	3742437	22987.04	163	274	10
Provincia Autonoma Bolzano / Bozen	524256	7398.38	71	116
Provincia Autonoma Trento	538604	6207.12	87	176
Umbria	888908	8464.33	105	92	2
Valle d'Aosta / Vallée d'Aoste	126883	3260.90	39	74	1
Veneto	4906210	18345.35	267	574	7
