Indicator	iso3	Year	Value	Flag
SP_DYN_TFRT_IN	AUS	2003	1.7480000000000002	
SP_DYN_TFRT_IN	AUS	2004	1.768	
SP_DYN_TFRT_IN	AUS	2005	1.807	
SP_DYN_TFRT_IN	AUS	2006	1.9080000000000001	
SP_DYN_TFRT_IN	AUS	2007	1.959	
SP_DYN_TFRT_IN	AUS	2008	1.984	
SP_DYN_TFRT_IN	AUS	2009	1.9709999999999999	
SP_DYN_TFRT_IN	AUS	2010	1.9280000000000002	
SP_DYN_TFRT_IN	AUS	2011	1.9269999999999998	
SP_DYN_TFRT_IN	AUS	2012	1.921	
SP_DYN_TFRT_IN	AUS	2013	1.859	
SP_DYN_TFRT_IN	AUS	2014	1.859	
SP_DYN_TFRT_IN	AUT	2003	1.38	
SP_DYN_TFRT_IN	AUT	2004	1.42	
SP_DYN_TFRT_IN	AUT	2005	1.41	
SP_DYN_TFRT_IN	AUT	2006	1.41	
SP_DYN_TFRT_IN	AUT	2007	1.38	
SP_DYN_TFRT_IN	AUT	2008	1.42	
SP_DYN_TFRT_IN	AUT	2009	1.39	
SP_DYN_TFRT_IN	AUT	2010	1.44	
SP_DYN_TFRT_IN	AUT	2011	1.43	
SP_DYN_TFRT_IN	AUT	2012	1.44	
SP_DYN_TFRT_IN	AUT	2013	1.44	
SP_DYN_TFRT_IN	AUT	2014	1.44	
SP_DYN_TFRT_IN	BEL	2003	1.67	
SP_DYN_TFRT_IN	BEL	2004	1.72	
SP_DYN_TFRT_IN	BEL	2005	1.76	
SP_DYN_TFRT_IN	BEL	2006	1.8	
SP_DYN_TFRT_IN	BEL	2007	1.82	
SP_DYN_TFRT_IN	BEL	2008	1.85	
SP_DYN_TFRT_IN	BEL	2009	1.84	
SP_DYN_TFRT_IN	BEL	2010	1.86	
SP_DYN_TFRT_IN	BEL	2011	1.81	
SP_DYN_TFRT_IN	BEL	2012	1.79	
SP_DYN_TFRT_IN	BEL	2013	1.75	
SP_DYN_TFRT_IN	BEL	2014	1.75	
SP_DYN_TFRT_IN	CAN	2003	1.53	
SP_DYN_TFRT_IN	CAN	2004	1.53	
SP_DYN_TFRT_IN	CAN	2005	1.54	
SP_DYN_TFRT_IN	CAN	2006	1.5862	
SP_DYN_TFRT_IN	CAN	2007	1.6589	
