Indicator	iso3	Time	Value	Flag
XGOVEXP_IMF	BFA	2005	19.49419	
XGOVEXP_IMF	BFA	2006	18.2017	
XGOVEXP_IMF	BFA	2007	17.86382	
XGOVEXP_IMF	BFA	2010	17.25081	
XGOVEXP_IMF	BFA	2011	20.31364	
XGOVEXP_IMF	BFA	2012	15.89538	
XGOVEXP_IMF	BFA	2013	16.16528	
XGOVEXP_IMF	BFA	2014	19.36811	
XGOVEXP_IMF	BFA	2015	18.02906	
XGOVEXP_IMF_1	IRN	2001	6.29884	‡
XGOVEXP_IMF_1	IRN	2002	6.8326699999999985	
XGOVEXP_IMF_1	IRN	2003	5.23987	
XGOVEXP_IMF_1	IRN	2004	4.98796	
XGOVEXP_IMF_1	IRN	2005	5.00893	
XGOVEXP_IMF_1	IRN	2006	5.7405599999999986	
XGOVEXP_IMF_1	IRN	2007	5.69896	
XGOVEXP_IMF_1	IRN	2008	5.73415	
XGOVEXP_IMF_1	IRN	2009	4.5796800000000015	
XGOVEXP_IMF_1	IRN	2010	4.64106	
XGOVEXP_IMF_1	IRN	2011	5.2051	
XGOVEXP_IMF_1	IRN	2012	4.4195699999999984	
XGOVEXP_IMF_1	IRN	2013	5.68173	
XGOVEXP_IMF_1	IRN	2014	5.28749	
XGOVEXP_IMF_1	IRN	2015	4.96676	
XGOVEXP_IMF_02	KEN	1999	0.05723	‡
XGOVEXP_IMF_02	KEN	2000	0.13541	
XGOVEXP_IMF_02	KEN	2001	0.29847	
XGOVEXP_IMF_02	KEN	2003	0.5604899999999999	
XGOVEXP_IMF_02	KEN	2004	0.4168600000000001	
XGOVEXP_IMF_02	KEN	2006	0.01268	
XGOVEXP_IMF_02	KEN	2011	0.04609	
XGOVEXP_IMF_02	KEN	2012	0.16374	
XGOVEXP_IMF_02	KEN	2013	0.13999	
XGOVEXP_IMF_02	KEN	2014	0.11419	
XGOVEXP_IMF_02	KEN	2015	0.29338000000000003	
XGOVEXP_IMF_2	QAT	2009	1.11674	
XGOVEXP_IMF_2T3	TGO	1999	7.73261	
XGOVEXP_IMF_2T3	TGO	2000	7.159439999999999	
XGOVEXP_IMF_2T3	TGO	2007	6.03798	
XGOVEXP_IMF_2T3	TGO	2008	6.907889999999999	
XGOVEXP_IMF_2T3	TGO	2009	6.84811	
XGOVEXP_IMF_2T3	TGO	2010	5.017519999999998	
XGOVEXP_IMF_2T3	TGO	2011	5.46205	
XGOVEXP_IMF_2T3	TGO	2012	2.53554	
XGOVEXP_IMF_2T3	TGO	2013	2.72545	
XGOVEXP_IMF_2T3	TGO	2014	3.32686	
XGOVEXP_IMF_2T3	TGO	2015	2.92533	
XGOVEXP_IMF_2	LKA	2001	0.01763	
XGOVEXP_IMF_2	LKA	2009	2.08771	
XGOVEXP_IMF_2	LKA	2010	2.29015	
XGOVEXP_IMF_2	LKA	2011	2.3437	
XGOVEXP_IMF_2	LKA	2012	2.13122	
XGOVEXP_IMF_2	LKA	2013	2.27537	
XGOVEXP_IMF_2	LKA	2014	2.70394	
XGOVEXP_IMF_2	LKA	2015	2.74459	
XGOVEXP_IMF_1	MDV	2003	11.01305	‡
XGOVEXP_IMF_1	MDV	2004	10.54391	‡
XGOVEXP_IMF_1	MDV	2005	7.04495	
XGOVEXP_IMF_1	MDV	2006	6.7194	
XGOVEXP_IMF_1	MDV	2008	6.3543699999999985	
XGOVEXP_IMF_1	MDV	2009	6.78445	
XGOVEXP_IMF_1	MDV	2010	5.297630000000002	
XGOVEXP_IMF_1	MDV	2011	5.14256	
XGOVEXP_IMF_1	MDV	2012	5.11402	
XGOVEXP_IMF_1	MDV	2013	5.03683	
XGOVEXP_IMF_1	MDV	2014	4.0334400000000015	
XGOVEXP_IMF_1	MDV	2015	5.10716	
XGOVEXP_IMF_3	MDA	2007	4.62035	
XGOVEXP_IMF_3	MDA	2008	2.67325	
XGOVEXP_IMF_3	MDA	2009	2.95127	
XGOVEXP_IMF_3	MDA	2010	3.15132	
XGOVEXP_IMF_3	MDA	2011	3.06391	
XGOVEXP_IMF_3	MDA	2012	2.82592	
XGOVEXP_IMF_3	MDA	2014	2.41622	
XGOVEXP_IMF_3	MDA	2015	2.44976	
XGOVEXP_IMF_02	GHA	2001		n
XGOVEXP_IMF_02	GHA	2004	1.47949	
XGOVEXP_IMF_02	GHA	2005	1.39344	
XGOVEXP_IMF_02	GHA	2006	1.33623	
XGOVEXP_IMF_02	GHA	2007	1.09693	
XGOVEXP_IMF_02	GHA	2008	1.43116	
XGOVEXP_IMF_02	GHA	2009	1.12009	
XGOVEXP_IMF_02	GHA	2010	1.26756	
XGOVEXP_IMF_02	GHA	2011	1.10151	
XGOVEXP_IMF_02	GHA	2012	3.08292	
XGOVEXP_IMF_02	GHA	2013	1.35326	
XGOVEXP_IMF_02	GHA	2014	1.53453	
XGOVEXP_IMF_2T3	PRT	1999	5.14329	
XGOVEXP_IMF_2T3	PRT	2000	5.2004199999999985	
XGOVEXP_IMF_2T3	PRT	2001	5.1338	
XGOVEXP_IMF_2T3	PRT	2002	5.06893	
XGOVEXP_IMF_2T3	PRT	2003	4.77155	
XGOVEXP_IMF_2T3	PRT	2004	4.5056	
XGOVEXP_IMF_2T3	PRT	2005	4.4273	
XGOVEXP_IMF_2T3	PRT	2006	4.38433	
XGOVEXP_IMF_2T3	PRT	2007	4.37326	
XGOVEXP_IMF_2T3	PRT	2008	4.36578	
XGOVEXP_IMF_2T3	PRT	2009	4.97003	
XGOVEXP_IMF_2T3	PRT	2010	4.58908	
XGOVEXP_IMF_2T3	PRT	2011	4.47567	
XGOVEXP_IMF_2T3	PRT	2012	4.5507	
XGOVEXP_IMF_2T3	PRT	2013	4.6412	
XGOVEXP_IMF_2T3	PRT	2014	4.1813	
XGOVEXP_IMF_4	SLV	2002		a
XGOVEXP_IMF_4	SLV	2003		a
XGOVEXP_IMF_4	SLV	2005		a
XGOVEXP_IMF_4	SLV	2006		a
XGOVEXP_IMF_4	SLV	2007		a
XGOVEXP_IMF_4	SLV	2008		a
XGOVEXP_IMF_4	SLV	2009		a
XGOVEXP_IMF_4	SLV	2010		a
XGOVEXP_IMF_4	SLV	2012		a
XGOVEXP_IMF_4	SLV	2013		a
XGOVEXP_IMF_4	SLV	2014		a
XGOVEXP_IMF_4	SLV	2015		a
XGOVEXP_IMF_3	LAO	2002	1.7931400000000002	
XGOVEXP_IMF_3	LAO	2009	1.22612	
XGOVEXP_IMF_3	LAO	2010	1.05581	
XGOVEXP_IMF_3	LAO	2011	1.41812	
XGOVEXP_IMF_3	LAO	2012	1.32095	
XGOVEXP_IMF_3	LAO	2013	2.3519	
XGOVEXP_IMF_3	LAO	2014	2.20898	
XGOVEXP_IMF_5T8	HUN	1999	1.87997	
XGOVEXP_IMF_5T8	HUN	2000	2.1699900000000003	
XGOVEXP_IMF_5T8	HUN	2001	2.2059900000000003	
XGOVEXP_IMF_5T8	HUN	2002	2.15296	
XGOVEXP_IMF_5T8	HUN	2003	2.44772	
XGOVEXP_IMF_5T8	HUN	2004	2.05867	
XGOVEXP_IMF_5T8	HUN	2005	2.04032	
XGOVEXP_IMF_5T8	HUN	2006	1.97688	
XGOVEXP_IMF_5T8	HUN	2007	2.03796	
XGOVEXP_IMF_5T8	HUN	2008	2.05534	
XGOVEXP_IMF_5T8	HUN	2009	2.17584	
XGOVEXP_IMF_5T8	HUN	2010	1.94785	
XGOVEXP_IMF_5T8	HUN	2011	2.17651	
XGOVEXP_IMF_5T8	HUN	2012	1.64759	
XGOVEXP_IMF_5T8	HUN	2013	1.82172	
XGOVEXP_IMF_5T8	HUN	2014	1.54832	
XGOVEXP_IMF_4	GUY	2002	0.21725	
XGOVEXP_IMF_4	GUY	2004	0.18407	
XGOVEXP_IMF_4	GUY	2006	0.24298000000000006	
XGOVEXP_IMF_4	GUY	2007	0.52184	
XGOVEXP_IMF_4	GUY	2009	0.21537	
XGOVEXP_IMF_4	GUY	2010	0.24846	
XGOVEXP_IMF_4	GUY	2011	0.23752	
XGOVEXP_IMF_4	GUY	2012	0.24718	
XGOVEXP_IMF_3	CZE	1999	2.22712	
XGOVEXP_IMF_3	CZE	2000	2.23751	
XGOVEXP_IMF_3	CZE	2001	2.34982	
XGOVEXP_IMF_3	CZE	2002	2.4083900000000003	
XGOVEXP_IMF_3	CZE	2003	2.23528	
XGOVEXP_IMF_3	CZE	2004	2.46763	
XGOVEXP_IMF_3	CZE	2005	2.45479	
XGOVEXP_IMF_3	CZE	2006	2.4912	
XGOVEXP_IMF_3	CZE	2007	2.40876	
XGOVEXP_IMF_3	CZE	2008	2.40956	
XGOVEXP_IMF_3	CZE	2009	2.28801	
XGOVEXP_IMF_3	CZE	2010	2.25864	
XGOVEXP_IMF_3	CZE	2011	2.16216	
XGOVEXP_IMF_3	CZE	2012	2.18722	
XGOVEXP_IMF_3	CZE	2013	2.139	
XGOVEXP_IMF	DMA	1999	11.41962	‡
XGOVEXP_IMF_2T3	BRB	1999	4.3672900000000014	
XGOVEXP_IMF_2T3	BRB	2000	4.96845	
XGOVEXP_IMF_2T3	BRB	2001	5.66287	
XGOVEXP_IMF_2T3	BRB	2002	5.39046	
XGOVEXP_IMF_2T3	BRB	2003	5.48423	
XGOVEXP_IMF_2T3	BRB	2004	4.9979	
XGOVEXP_IMF_2T3	BRB	2005	4.87971	
XGOVEXP_IMF_2T3	BRB	2007	4.94246	
XGOVEXP_IMF_2T3	BRB	2008	3.94362	
XGOVEXP_IMF_2T3	BRB	2009	4.0061300000000015	
XGOVEXP_IMF_2T3	BRB	2010	4.61165	
XGOVEXP_IMF_2T3	BRB	2012	4.09768	
XGOVEXP_IMF_2T3	BRB	2013	3.02151	
XGOVEXP_IMF_2T3	BRB	2014	3.1836900000000004	
XGOVEXP_IMF_4	YEM	2008		a
XGOVEXP_IMF_4	YEM	2013		a
XGOVEXP_IMF_4	LBY	1999	1.24623	
XGOVEXP_IMF_2T3	CHL	2000	5.6207699999999985	
XGOVEXP_IMF_2T3	CHL	2002	6.14509	
XGOVEXP_IMF_2T3	CHL	2003	6.75725	
XGOVEXP_IMF_2T3	CHL	2004	6.4519400000000005	
XGOVEXP_IMF_2T3	CHL	2005	6.30126	
XGOVEXP_IMF_2T3	CHL	2006	6.25264	
XGOVEXP_IMF_2T3	CHL	2007	6.41614	
